tetoCimaEsquerdo: .word 16, 16
.byte 181,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,
82,155,246,246,246,246,246,246,246,246,246,246,246,246,246,246,
82,246,172,172,172,172,172,172,172,172,172,172,172,172,172,172,
82,246,172,172,82,82,82,82,82,82,82,82,82,82,82,82,
82,246,172,82,82,82,82,82,82,82,82,82,82,82,82,82,
82,246,172,82,82,82,82,82,82,82,82,82,82,82,82,82,
82,246,172,82,82,82,82,82,82,82,82,82,82,82,82,82,
82,246,172,82,155,155,155,155,155,155,155,155,82,155,155,155,
82,246,172,82,155,172,172,172,172,172,172,172,82,172,172,172,
82,246,172,82,155,172,237,237,237,237,237,237,82,237,237,237,
82,246,172,82,155,172,237,237,237,237,237,237,82,237,237,237,
82,246,172,82,155,172,237,237,237,237,237,237,155,237,237,237,
82,246,172,82,82,82,82,82,82,82,82,155,155,155,82,82,
82,246,172,82,155,172,237,237,237,237,237,237,155,237,237,237,
82,246,172,82,155,172,237,237,237,237,237,237,82,237,237,237,
82,246,172,82,155,172,237,237,237,237,237,237,82,237,237,237,


